date,4C Offshore,Ammonia Energy Association,Batteries International,Batteries International News,Batteries News,Battery Council International,Battery Tech Online,BloombergNEF Press,Data Center Knowledge,ESPLAZA长时储能网,ESS News,Electrek,EnergyTrend储能,H2 View,Hydrogen Tech World,INSIDEEVs,IT之家,Informationsdienst Wissenschaft-idw,MIT Technology Review,MIT Technology Review Climate,NE时代,Renewables Now,Supply Chain Digital,Volta Foundation,X-MOL,batteries news,electrive,interesting engineering,perovskite-info,pv magazine,pv magazine C&I PV,scitechdaily,the information,中国新能源网-新闻,中国核电信息网-国内,中国核电信息网-国际,中国电力新闻网-新能源,中国电力新闻网-科技,中国能源网,中粉固态电池,光伏测试网,全球风电网,北极星储能网,国际太阳能光伏网,国际能源网,地热能在线,我爱电车网,新华网科技,新能源网,电池网,科学网新闻,索比光伏,索比光伏-综合新闻,网易知光谷,能源学人,起点钠电,钙钛矿学习xx平台,钙钛矿工厂,风电世界
2026-06-10,,2,,,,,2,,,,5,4,,,2,,15,3,2,,,2,2,,,,2,,,10,,8,10,,,,4,2,,,,,,,,,,10,,,,1,6,,,,,,
2026-06-11,,,9,,,,2,,,,9,5,,,1,,17,,5,,,2,7,,,,1,,,10,,6,10,,,,,2,,,,,,,,,,2,,,,1,7,,,,,,
2026-06-12,,,,,,,,,,,4,3,,,1,,20,,4,,,3,5,,,,3,3,,10,,13,11,,,,4,2,,,,,,,,,,6,,,,3,9,,,,,,
2026-06-13,,,1,,,,1,,,,,4,,,,,20,,,,,,2,,,,,7,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-14,,,,,,,,,,,,,,,,,20,,,,,,1,,,,,7,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,,,,,,,,,,,3,3,,,,,4,2,3,,,3,3,,,,1,,,10,,9,9,,,,4,,,,,,,,,,,12,,,,,10,,,,,,
2026-06-16,,,1,,,,1,1,,,4,6,,,1,,12,2,2,,,3,3,,,,1,2,,10,,6,13,,,,,4,,,,,,,,,,5,,,,2,6,,,,,,
2026-06-17,,,,,,,2,,,,5,9,,,2,,20,4,3,,,3,1,,,,1,4,,10,,12,11,,,,4,5,,,,,,,,,,11,,,,,6,,,,,,
2026-06-18,,,,,,,,,,,3,6,,,,,17,2,3,,,2,2,,,,3,1,,10,,11,11,,,,,,,,,,,,,,,7,,,,4,6,,,,,,
2026-06-19,,,,,,,1,,,,3,6,,,1,,20,1,4,,,2,2,,,,1,6,,10,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-20,,,9,,,,,,,,,,,,,,,1,,,,,2,,,,,,,1,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22,,,1,,,,,,,,5,7,,,1,,15,,2,,,,2,,,,1,8,,10,,9,9,,,,,,,,,,,,,,,10,,,,2,6,,,,,,
2026-06-23,,,1,,,,,,,,5,4,,,,,20,3,3,,,1,3,,,,2,8,,10,,14,11,,,,4,,,,,,,,,,,11,,,,1,10,,,,,,
2026-06-24,,,2,,,,1,1,,,4,7,,,2,,18,1,6,,,1,2,,,,,8,,10,,8,12,,,,,,,,,,,,,,,8,,,,,9,,,,,,
2026-06-25,,,,,,,2,,,,2,6,,,1,,17,4,4,,,3,5,,,,2,6,,10,,13,12,,,,,,,,,,,,,,,15,,,,1,10,,,,,,
2026-06-26,,,,,,,,,,,4,7,,,2,,18,,2,,,2,2,,,,2,4,,10,,8,10,,,,,,,,,,,,,,,8,,,,2,6,,,,,,
2026-06-27,,,,,,,2,,,,,1,,,,,,,,,,,2,,,,,,,1,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-29,,,10,,,,,,,,2,5,,,,,11,,2,,,2,4,,,,1,7,,10,,9,9,,,,,2,,,,,,,,,,14,,,,,6,,,,,,
2026-06-30,,3,,,,,,,,,7,4,,,2,,20,,3,,,3,3,,,,2,10,,10,,9,10,,,,2,,,,,,,,,,,7,,,,2,10,,,,,,
2026-07-01,,1,,,,,,,,,10,5,,,1,,20,2,2,,,2,3,,,,2,8,,10,,11,19,,,,2,8,,,,,,,,,,9,,,,,9,,,,,,
2026-07-02,,1,10,,,,3,,,,6,8,,,1,,20,2,4,,,3,2,,,,1,9,,10,,9,12,,,,7,4,,,,,,,,,,4,,,,3,9,,,,,,
2026-07-03,,3,2,,,,,,,,6,10,,,,,,2,2,,,3,4,,,,1,,,10,,5,11,,,,4,6,,,,,,,,,,13,,,,1,9,,,,,,
2026-07-04,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06,,1,,,,,,,,,5,4,,,3,,11,4,2,,,3,3,,,,1,4,,10,,6,9,,,,2,4,,,,,,,,,,12,,,,8,6,,,,,,
2026-07-07,,,,,,,1,,,,5,6,,,1,,20,2,3,,,2,4,,,,2,10,,10,,8,9,,,,4,2,,,,,,,,,,4,,,,3,8,,,,,,
2026-07-08,,,,,,,4,,,,7,5,,,1,,20,2,1,,,3,2,,,,2,10,,10,,12,15,,,,2,6,,,,,,,,,,13,,,,1,5,,,,,,
2026-07-09,,,,,,,2,,,,7,3,,,,,20,2,2,,,2,4,,,,2,9,,10,,12,11,,,,2,4,,,,,,,,,,11,,,,3,11,,,,,,
2026-07-10,,,7,,,,,,,,6,4,,,,,20,4,2,,,1,1,,,,1,10,,10,,13,17,,,,4,4,,,,,,,,,,11,,,,,5,,,,,,
2026-07-11,,,3,,,,1,,,,,1,,,,,,,,,,1,1,,,,,,,6,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,,,,,,,1,,,,5,6,,,1,,20,,1,,,3,2,,,,,9,,10,,12,10,,,,7,2,,,,,,,,,,10,,,,,6,,,,,,
2026-07-14,,3,1,,,,2,,,,3,3,,,2,,,,2,,,,4,,,,1,,,,,10,6,,,,1,5,,,,,,,,,,1,,,,4,3,,,,,,
2026-07-15,,,7,,,,2,,,,7,6,,,1,,,,1,,,,3,,,,3,,,,,7,4,,,,4,1,,,,,,,,,,6,,,,1,,,,,,,
2026-07-16,,,,,,,,,,,3,6,,,,,,,2,,,,3,,,,,,,,,10,5,,,,3,6,,,,,,,,,,6,,,,1,2,,,,,,
2026-07-17,,1,,,,,,,,,6,6,,,,,,,3,,,2,4,,,,,,,4,,10,14,,,,4,,,,,,,,,,,9,,,,1,8,,,,,,
2026-07-18,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,6,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19,0,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,,0,1,0,,0,0,0,0,0,0,8,2,0,0,0,0,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0
2026-07-20,6,1,,,,,,,,,6,4,,,1,,,,2,,,,1,,,,,,,,,8,8,,,,3,,,,,,,1,,,,7,,,,,8,,,,,,
2026-07-21,5,3,2,0,,0,2,0,,0,4,5,,0,0,,0,0,2,0,,6,6,0,,0,3,0,0,0,0,12,7,0,13,14,6,1,,0,,0,,6,,0,,6,0,,1,2,10,0,0,0,0,0,0
2026-07-22,5,0,3,0,,0,2,0,,0,1,4,,0,1,,0,4,2,0,,4,3,0,,0,1,0,0,0,0,11,4,0,9,13,0,1,,0,,0,,0,,0,,5,0,,0,0,11,0,0,0,0,0,0
2026-07-23,5,1,1,0,,0,1,0,,0,3,4,,0,2,,0,3,3,0,,7,3,0,,0,1,0,0,0,0,12,7,4,10,4,0,0,,0,,0,,6,,0,,7,0,,0,2,14,0,0,0,0,0,0
2026-07-24,1,0,4,0,,0,1,0,,0,5,5,,0,0,,0,0,1,0,,4,5,0,,0,1,0,0,10,0,12,13,8,13,16,0,1,,0,,0,,0,,0,,9,0,,0,1,19,0,0,0,0,0,0
2026-07-25,0,0,0,0,,0,0,0,,0,0,2,,0,0,,0,0,0,0,,0,1,0,,0,0,0,0,0,0,12,5,0,10,7,0,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0
2026-07-26,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-27,2,0,0,0,,0,0,0,,0,3,6,,4,0,,20,3,5,0,,19,0,0,,0,1,3,1,10,0,12,9,0,8,9,2,1,,0,,0,,6,,0,,7,0,,20,1,27,0,0,0,0,0,0
2026-07-28,4,3,5,0,,0,1,0,,0,6,7,,4,1,,20,4,2,0,,18,4,0,,0,3,2,2,10,0,13,13,0,0,20,1,0,,0,,0,,0,,0,,4,0,,20,1,24,0,0,0,0,0,0
2026-07-29,4,0,2,0,,0,1,0,,0,7,4,0,5,0,5,20,2,2,0,12,18,1,0,0,0,1,1,1,10,0,12,6,0,7,19,2,1,0,0,0,0,20,5,0,0,0,7,0,1,20,6,17,0,0,0,0,0,0
2026-07-30,4,0,0,0,,0,3,0,,0,6,4,0,8,1,8,20,1,2,0,7,16,3,0,0,0,2,0,0,10,0,12,5,0,9,20,2,2,0,0,0,0,20,10,0,0,0,4,0,0,20,6,12,0,0,0,0,0,0
2026-07-31,3,0,3,0,,0,0,0,,0,2,5,0,6,0,7,20,1,2,0,19,17,2,0,0,0,1,0,2,10,0,12,6,0,12,20,0,0,0,0,0,0,20,0,0,0,0,4,0,0,20,4,18,0,0,0,0,0,0
2026-08-01,0,0,0,0,,0,1,0,,0,0,0,0,0,0,4,20,0,0,0,0,2,3,0,0,0,0,8,1,0,0,12,2,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0
2026-08-02,0,0,0,0,,0,0,0,,0,0,1,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,9,2,0,0,11,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0
2026-08-03,0,3,0,0,,0,0,0,,0,2,6,0,6,0,5,20,1,2,0,9,20,3,0,0,0,2,4,3,10,3,13,5,0,14,20,0,0,24,0,0,0,20,0,0,0,1,8,0,0,20,1,20,0,0,0,0,0,0
2026-08-04,0,3,1,0,1,0,3,0,,0,5,7,8,5,1,7,20,3,1,0,5,14,2,0,0,0,2,3,2,10,1,11,4,0,11,20,1,1,5,0,0,0,20,1,5,0,4,13,0,4,20,3,19,0,0,0,0,0,0
2026-08-05,0,0,0,0,,0,2,0,,0,5,5,0,6,1,8,20,0,3,0,16,16,2,0,0,0,3,1,1,10,1,12,6,0,10,20,4,1,0,0,0,0,20,3,0,0,0,13,0,0,20,1,20,0,0,0,0,0,0
2026-08-06,0,0,0,0,0,0,4,0,2,0,7,6,6,6,0,11,18,4,1,0,2,17,3,0,0,,0,20,1,10,1,13,7,0,8,16,1,1,0,0,0,0,20,2,0,0,0,7,0,0,15,2,18,0,0,0,0,0,0
2026-08-07,0,0,5,0,0,0,2,0,3,0,8,6,4,3,0,6,20,3,2,0,4,17,4,0,0,,2,20,2,10,6,12,9,0,9,20,4,3,0,0,0,0,20,1,0,0,0,9,0,0,20,0,20,0,0,0,0,0,0
2026-08-08,0,0,2,0,0,0,1,0,2,0,0,5,0,0,0,3,20,0,0,0,0,0,1,0,0,,0,20,0,0,0,11,4,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0
2026-08-09,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,20,0,0,0,0,0,0,0,0,,0,16,0,0,0,12,2,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2026-08-10,0,0,0,0,0,0,0,0,1,0,5,6,4,5,2,3,20,1,3,0,20,19,4,0,0,,1,18,0,10,2,10,4,0,7,20,2,1,0,0,0,0,20,6,0,0,0,5,0,0,20,3,20,0,0,0,0,0,0
2026-08-11,0,4,0,0,0,0,2,0,3,0,3,4,2,8,3,6,20,2,1,0,19,17,2,0,0,,3,20,1,10,6,12,5,0,8,20,1,1,0,0,0,0,20,8,0,0,0,6,0,0,20,1,19,0,0,0,0,0,0
2026-08-12,5,0,2,0,0,0,1,0,3,0,4,5,0,6,1,10,20,3,2,0,15,19,2,0,0,,1,22,2,10,7,11,8,0,7,20,7,6,0,0,0,0,0,9,0,0,0,10,0,0,20,0,22,0,0,0,0,0,0
2026-08-13,5,0,1,0,0,0,1,0,2,0,4,6,0,5,0,8,20,2,4,0,17,19,3,0,0,,2,20,0,10,7,13,5,0,5,20,1,4,0,0,0,0,0,1,0,0,0,9,0,0,20,5,19,0,0,0,0,0,0
2026-08-14,5,0,6,0,0,0,0,0,2,0,5,6,3,3,0,7,20,1,4,0,7,17,4,0,0,,3,20,2,10,7,12,5,0,4,20,0,1,0,0,0,0,0,2,0,0,0,10,0,0,20,3,18,0,0,0,0,0,0
2026-08-15,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,20,0,0,0,0,0,1,0,0,,0,20,1,1,0,10,2,0,9,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2026-08-16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,20,0,0,0,0,0,1,0,0,,0,16,2,0,0,13,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2026-08-17,6,1,0,0,0,0,2,0,3,0,2,5,3,5,0,3,20,0,3,0,20,17,2,0,0,,0,18,0,10,6,13,5,0,7,16,4,2,0,0,0,0,0,5,0,0,0,8,0,0,20,3,18,0,0,0,0,0,0
2026-08-18,6,3,1,0,0,0,1,0,4,0,5,6,3,4,1,7,20,3,4,0,13,15,3,0,0,,0,20,1,10,6,12,4,0,8,20,1,4,0,0,0,0,0,3,0,0,0,7,0,0,17,5,18,0,0,0,0,0,0
2026-08-19,5,0,2,0,0,0,1,0,3,0,5,4,3,7,2,5,20,0,2,0,17,20,3,0,0,,1,20,1,10,4,12,6,0,5,20,1,1,20,0,0,0,0,4,0,0,10,11,0,0,20,4,19,0,0,0,0,0,0
2026-08-20,5,0,1,0,0,0,3,0,2,0,5,4,3,5,1,7,20,0,5,0,12,18,2,0,0,,2,20,1,10,3,12,6,0,7,20,3,1,10,0,0,0,0,6,0,0,8,6,0,0,20,4,18,0,0,0,0,0,0
2026-08-21,5,0,8,0,0,0,0,0,3,0,3,2,0,4,0,6,20,2,4,0,12,20,6,0,0,,1,20,1,10,10,12,5,0,6,20,1,1,7,0,0,0,0,4,0,0,7,5,0,0,20,2,19,0,0,0,0,0,0
2026-08-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,,0,20,1,1,0,11,3,0,8,13,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,0
2026-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,,0,13,2,0,0,13,2,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0
2026-08-24,5,0,0,0,0,0,1,0,1,0,8,5,4,4,0,3,20,0,3,0,6,16,1,0,0,,3,15,1,10,4,11,6,0,7,17,2,1,20,0,0,0,0,4,0,0,4,13,0,0,20,6,19,0,0,0,0,0,0
2026-08-25,5,1,0,0,0,0,0,0,2,0,4,7,4,3,0,7,20,0,0,0,0,17,3,0,0,,1,20,0,10,9,13,7,0,6,20,4,0,20,0,0,0,0,4,0,0,8,11,0,0,20,5,19,0,0,0,0,0,0
2026-08-26,5,0,0,0,0,0,1,0,3,0,4,5,3,6,0,4,0,1,4,0,0,18,2,0,0,,2,20,2,8,8,12,7,0,5,15,2,1,14,0,0,0,0,7,0,0,9,9,0,0,5,6,11,0,0,0,0,0,0
2026-08-27,5,0,2,0,0,0,0,0,3,0,2,5,3,6,1,4,0,3,2,0,14,16,4,0,0,,1,20,0,6,9,12,8,0,10,15,0,1,9,0,0,0,0,2,0,0,10,8,0,1,0,4,7,0,0,0,0,0,0
2026-08-28,4,0,1,0,0,0,2,0,3,0,2,6,1,5,1,4,0,3,2,0,5,19,3,0,0,,1,20,3,10,8,13,8,0,8,16,1,2,20,0,0,0,0,5,0,0,10,6,0,1,12,3,20,0,0,0,0,0,0
2026-08-29,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,5,20,0,0,0,0,0,1,0,0,,0,20,0,1,0,9,2,0,4,10,0,0,3,0,0,0,0,0,0,0,5,0,0,0,18,0,2,0,0,0,0,0,0
2026-08-30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,1,0,0,,0,11,0,0,0,8,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0
2026-08-31,0,2,0,0,0,0,3,0,2,0,2,5,0,1,2,1,12,2,0,0,17,20,1,0,0,,1,20,1,10,3,11,5,0,5,13,1,0,20,0,0,0,0,5,0,0,5,3,0,0,17,1,18,0,0,0,0,0,0
2026-09-01,6,0,0,0,3,0,1,0,3,0,5,6,5,0,0,5,20,13,3,0,19,17,1,0,0,,1,20,2,10,8,12,3,0,5,20,0,0,20,0,0,0,0,4,0,0,9,13,0,0,20,5,17,0,0,0,0,0,0
2026-09-02,6,1,0,0,0,0,3,0,2,0,4,7,4,0,1,10,20,4,2,0,14,19,2,0,0,,2,20,2,10,5,8,6,0,13,20,1,0,0,0,0,0,0,2,0,0,0,12,0,3,19,5,18,0,0,0,0,0,0
2026-09-03,5,2,5,0,0,0,0,0,3,0,5,7,4,0,1,8,20,0,3,0,17,15,4,0,0,,1,20,1,10,4,14,7,0,6,20,1,0,0,0,0,0,0,5,0,0,6,9,0,0,19,1,19,0,0,0,0,0,0
2026-09-04,5,0,1,0,0,0,1,0,3,0,5,5,5,0,0,11,20,2,2,0,8,20,4,0,0,,3,28,1,10,10,9,0,0,4,20,0,0,0,0,0,0,0,3,0,0,7,7,0,0,0,3,18,0,0,0,0,0,0
